"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Marc Overmars","Left Winger",27,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,40000000
"Rio Ferdinand","Centre-Back",22,"West Ham","Premier League","Leeds","Premier League","2000-2001",NA,26000000
"Jimmy Floyd Hasselbaink","Centre-Forward",28,"Atlético Madrid","LaLiga2","Chelsea","Premier League","2000-2001",NA,22500000
"Robbie Keane","Centre-Forward",19,"Coventry City","Premier League","Inter","Serie A","2000-2001",NA,19500000
"Tore André Flo","Centre-Forward",27,"Chelsea","Premier League","Rangers"," Scotland","2000-2001",NA,18000000
"Sergiy Rebrov","Second Striker",26,"Dynamo Kyiv","Premier Liga","Spurs","Premier League","2000-2001",NA,18000000
"Sylvain Wiltord","Second Striker",26,"G. Bordeaux","Ligue 1","Arsenal","Premier League","2000-2001",NA,17500000
"Francis Jeffers","Centre-Forward",20,"Everton","Premier League","Arsenal","Premier League","2000-2001",NA,15300000
"Emmanuel Petit","Defensive Midfield",29,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,15000000
"Juan Pablo Ángel","Centre-Forward",25,"River Plate"," Argentina","Aston Villa","Premier League","2000-2001",NA,14400000
"Ugo Ehiogu","Centre-Back",27,"Aston Villa","Premier League","Middlesbrough","Premier League","2000-2001",NA,12200000
"Jesper Grönkjaer","Left Winger",23,"AFC Ajax","Eredivisie","Chelsea","Premier League","2000-2001",NA,11850000
"Fabien Barthez","Goalkeeper",29,"Monaco","Ligue 1","Man Utd","Premier League","2000-2001",NA,11700000
"Laurén","Right-Back",23,"RCD Mallorca","LaLiga","Arsenal","Premier League","2000-2001",NA,10700000
"Olivier Dacourt","Defensive Midfield",25,"Lens","Ligue 1","Leeds","Premier League","2000-2001",NA,10500000
"Carl Cort","Centre-Forward",22,"MK Dons"," England","Newcastle","Premier League","2000-2001",NA,10500000
"Robert Pirès","Left Midfield",26,"Marseille","Ligue 1","Arsenal","Premier League","2000-2001",NA,9800000
"Chris Sutton","Centre-Forward",27,"Chelsea","Premier League","Celtic"," Scotland","2000-2001",NA,9500000
"Craig Bellamy","Left Winger",21,"Norwich"," England","Coventry City","Premier League","2000-2001",NA,9250000
"Mark Viduka","Centre-Forward",24,"Celtic"," Scotland","Leeds","Premier League","2000-2001",NA,9150000
"Alpay Özalan","Centre-Back",27,"Fenerbahce","Süper Lig","Aston Villa","Premier League","2000-2001",NA,9000000
"Christian Ziege","Left Midfield",28,"Middlesbrough","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Nick Barmby","Left Midfield",26,"Everton","Premier League","Liverpool","Premier League","2000-2001",NA,9000000
"Marc-Vivien Foé","Central Midfield",25,"West Ham","Premier League","Olympique Lyon","Ligue 1","2000-2001",NA,9000000
"Christian Karembeu","Defensive Midfield",29,"Real Madrid","LaLiga","Middlesbrough","Premier League","2000-2001",NA,8750000
"Neil Lennon","Central Midfield",29,"Leicester","Premier League","Celtic"," Scotland","2000-2001",NA,8630000
"Mario Stanic","Right Winger",28,"Parma","Serie A","Chelsea","Premier League","2000-2001",NA,8400000
"Igor Biscan","Centre-Back",22,"Dinamo Zagreb"," Croatia","Liverpool","Premier League","2000-2001",NA,8250000
"Ben Thatcher","Left-Back",24,"MK Dons"," England","Spurs","Premier League","2000-2001",NA,7540000
"Eidur Gudjohnsen","Centre-Forward",21,"Bolton"," England","Chelsea","Premier League","2000-2001",NA,7500000
"Dominic Matteo","Left-Back",26,"Liverpool","Premier League","Leeds","Premier League","2000-2001",NA,7130000
"Hermann Hreidarsson","Centre-Back",25,"MK Dons"," England","Ipswich","Premier League","2000-2001",NA,6750000
"Émerson Thome","Centre-Back",28,"Chelsea","Premier League","Sunderland","Premier League","2000-2001",NA,6700000
"Alex Nyarko","Centre-Back",26,"Lens","Ligue 1","Everton","Premier League","2000-2001",NA,6300000
"Claus Jensen","Attacking Midfield",23,"Bolton"," England","Charlton","Premier League","2000-2001",NA,6000000
"Alain Goma","Centre-Back",28,"Newcastle","Premier League","Fulham"," England","2000-2001",NA,6000000
"Esteban Fuertes","Centre-Forward",27,"Derby","Premier League","Lens","Ligue 1","2000-2001",NA,6000000
"Duncan Ferguson","Centre-Forward",28,"Newcastle","Premier League","Everton","Premier League","2000-2001",NA,5400000
"Christian Bassedas","Attacking Midfield",27,"Vélez Sarsfield"," Argentina","Newcastle","Premier League","2000-2001",NA,5300000
"Giorgi Kinkladze","Attacking Midfield",27,"AFC Ajax","Eredivisie","Derby","Premier League","2000-2001",NA,5000000
"Julio Arca","Central Midfield",19,"Argentinos"," Argentina","Sunderland","Premier League","2000-2001",NA,4700000
"Richard Dunne","Centre-Back",21,"Everton","Premier League","Man City","Premier League","2000-2001",NA,4500000
"Gary Rowett","Right-Back",26,"Birmingham"," England","Leicester","Premier League","2000-2001",NA,4500000
"David Thompson","Right Midfield",22,"Liverpool","Premier League","Coventry City","Premier League","2000-2001",NA,4500000
"Alessandro Pistone","Left-Back",24,"Newcastle","Premier League","Everton","Premier League","2000-2001",NA,4500000
"Joseph-Désiré Job","Centre-Forward",22,"Lens","Ligue 1","Middlesbrough","Premier League","2000-2001",NA,4500000
"Radostin Kishishev","Defensive Midfield",25,"Litex Lovetch"," Bulgaria","Charlton","Premier League","2000-2001",NA,4500000
"Bernard Diomède","Left Winger",26,"AJ Auxerre","Ligue 1","Liverpool","Premier League","2000-2001",NA,4500000
"David Johnson","Left Winger",24,"Ipswich","Premier League","Nottm Forest"," England","2000-2001",NA,4500000
"Alan Thompson","Left Midfield",26,"Aston Villa","Premier League","Celtic"," Scotland","2000-2001",NA,4400000
"Jonatan Johansson","Centre-Forward",24,"Rangers"," Scotland","Charlton","Premier League","2000-2001",NA,4300000
"Rigobert Song","Centre-Back",24,"Liverpool","Premier League","West Ham","Premier League","2000-2001",NA,4100000
"Craig Hignett","Right Winger",30,"Barnsley FC"," England","Blackburn"," England","2000-2001",NA,4000000
"Niclas Alexandersson","Right Midfield",28,"Sheff Wed"," England","Everton","Premier League","2000-2001",NA,3800000
"Darren Huckerby","Right Winger",24,"Leeds","Premier League","Man City","Premier League","2000-2001",NA,3800000
"David Hopkin","Right Midfield",29,"Leeds","Premier League","Bradford City","Premier League","2000-2001",NA,3750000
"Alf-Inge Haland","Defensive Midfield",27,"Leeds","Premier League","Man City","Premier League","2000-2001",NA,3750000
"Lomana LuaLua","Second Striker",19,"Colchester Utd."," England","Newcastle","Premier League","2000-2001",NA,3750000
"Steve Watson","Right Midfield",26,"Aston Villa","Premier League","Everton","Premier League","2000-2001",NA,3750000
"Lee Carsley","Defensive Midfield",26,"Blackburn"," England","Coventry City","Premier League","2000-2001",NA,3750000
"Don Hutchison","Attacking Midfield",29,"Everton","Premier League","Sunderland","Premier League","2000-2001",NA,3750000
"Didier Deschamps","Defensive Midfield",31,"Chelsea","Premier League","Valencia CF","LaLiga","2000-2001",NA,3500000
"Thomas Gravesen","Defensive Midfield",24,"Hamburger SV","1.Bundesliga","Everton","Premier League","2000-2001",NA,3500000
"Stephen Hughes","Defensive Midfield",23,"Arsenal","Premier League","Everton","Premier League","2000-2001",NA,3500000
"Alen Boksic","Centre-Forward",30,"Lazio","Serie A","Middlesbrough","Premier League","2000-2001",NA,3450000
"Geoff Horsfield","Centre-Forward",26,"Fulham"," England","Birmingham"," England","2000-2001",NA,3380000
"Louis Saha","Centre-Forward",21,"FC Metz","Ligue 1","Fulham"," England","2000-2001",NA,3150000
"Marcus Bent","Centre-Forward",22,"Sheffield Utd."," England","Blackburn"," England","2000-2001",NA,3150000
"Jason Roberts","Centre-Forward",22,"Bristol Rovers"," England","West Brom"," England","2000-2001",NA,3000000
"Danny Higginbotham","Centre-Back",21,"Man Utd","Premier League","Derby","Premier League","2000-2001",NA,3000000
"Andrew O'Brien","Centre-Back",21,"Bradford City","Premier League","Newcastle","Premier League","2000-2001",NA,3000000
"Noel Whelan","Centre-Forward",25,"Coventry City","Premier League","Middlesbrough","Premier League","2000-2001",NA,3000000
"Shaun Bartlett","Centre-Forward",28,"FC Zürich","Super League","Charlton","Premier League","2000-2001",NA,3000000
"Andrejs Stolcers","Attacking Midfield",26,"Shakhtar D.","Premier Liga","Fulham"," England","2000-2001",NA,3000000
"Bjørn Otto Bragstad","Centre-Back",29,"Rosenborg BK","Eliteserien","Derby","Premier League","2000-2001",NA,3000000
"Andrejs Rubins","Left Winger",21,"Skonto Riga"," Latvia","Crystal Palace"," England","2000-2001",NA,2800000
"John Collins","Left Midfield",32,"Everton","Premier League","Fulham"," England","2000-2001",NA,2750000
"Henning Berg","Right-Back",30,"Man Utd","Premier League","Blackburn"," England","2000-2001",NA,2630000
"Gary Naysmith","Left-Back",21,"Heart of Midl."," Scotland","Everton","Premier League","2000-2001",NA,2630000
"Christian Dailly","Centre-Back",27,"Blackburn"," England","West Ham","Premier League","2000-2001",NA,2600000
"Callum Davidson","Left-Back",24,"Blackburn"," England","Leicester","Premier League","2000-2001",NA,2500000
"Cédric Roussel","Centre-Forward",23,"Coventry City","Premier League","Wolves"," England","2000-2001",NA,2400000
"Per Frandsen","Right Midfield",30,"Blackburn"," England","Bolton"," England","2000-2001",NA,2400000
"Alan Mahon","Left Midfield",22,"Sporting CP","Liga NOS","Blackburn"," England","2000-2001",NA,2300000
"David Hopkin","Right Midfield",30,"Bradford City","Premier League","Crystal Palace"," England","2000-2001",NA,2250000
"Paul Robinson","Centre-Forward",21,"Newcastle","Premier League","MK Dons"," England","2000-2001",NA,2250000
"Trevor Benjamin","Centre-Forward",21,"Cambridge Utd."," England","Leicester","Premier League","2000-2001",NA,2250000
"John Curtis","Right-Back",21,"Man Utd","Premier League","Blackburn"," England","2000-2001",NA,2250000
"Bernt Haas","Right-Back",22,"Grasshoppers","Super League","Sunderland","Premier League","2000-2001",NA,2100000
"Chris Makin","Left-Back",27,"Sunderland","Premier League","Ipswich","Premier League","2000-2001",NA,2100000
"Ashley Ward","Centre-Forward",29,"Blackburn"," England","Bradford City","Premier League","2000-2001",NA,2100000
"David Healy","Centre-Forward",21,"Man Utd","Premier League","Preston NE"," England","2000-2001",NA,2000000
"Espen Baardsen","Goalkeeper",22,"Spurs","Premier League","Watford"," England","2000-2001",NA,2000000
"Slavisa Jokanovic","Defensive Midfield",32,"Dep. La Coruña","LaLiga","Chelsea","Premier League","2000-2001",NA,1900000
"Juan Sebastián Verón","Central Midfield",26,"Lazio","Serie A","Man Utd","Premier League","2001-2002",NA,42600000
"Ruud van Nistelrooy","Centre-Forward",25,"PSV Eindhoven","Eredivisie","Man Utd","Premier League","2001-2002",NA,28500000
"Jaap Stam","Centre-Back",29,"Man Utd","Premier League","Lazio","Serie A","2001-2002",NA,25750000
"Robbie Keane","Centre-Forward",20,"Inter","Serie A","Leeds","Premier League","2001-2002",NA,18000000
"Steve Marlet","Centre-Forward",27,"Olympique Lyon","Ligue 1","Fulham","Premier League","2001-2002",NA,17600000
"Robbie Fowler","Centre-Forward",26,"Liverpool","Premier League","Leeds","Premier League","2001-2002",NA,16800000
"Frank Lampard","Central Midfield",23,"West Ham","Premier League","Chelsea","Premier League","2001-2002",NA,16000000
"Laurent Robert","Left Winger",26,"Paris SG","Ligue 1","Newcastle","Premier League","2001-2002",NA,14330000
"Giovanni van Bronckhorst","Left-Back",26,"Rangers"," Scotland","Arsenal","Premier League","2001-2002",NA,13500000
"Andy Cole","Centre-Forward",30,"Man Utd","Premier League","Blackburn","Premier League","2001-2002",NA,12200000
"Dean Richards","Centre-Back",27,"Southampton","Premier League","Spurs","Premier League","2001-2002",NA,12150000
"Seth Johnson","Central Midfield",22,"Derby","Premier League","Leeds","Premier League","2001-2002",NA,11500000
"Emmanuel Petit","Defensive Midfield",30,"FC Barcelona","LaLiga","Chelsea","Premier League","2001-2002",NA,11500000
"Diego Forlán","Second Striker",22,"Independiente"," Argentina","Man Utd","Premier League","2001-2002",NA,11000000
"Corrado Grabbi","Centre-Forward",25,"Ternana","Serie B","Blackburn","Premier League","2001-2002",NA,10700000
"Edwin van der Sar","Goalkeeper",30,"Juventus","Serie A","Fulham","Premier League","2001-2002",NA,10300000
"Gareth Southgate","Centre-Back",30,"Aston Villa","Premier League","Middlesbrough","Premier League","2001-2002",NA,9750000
"Michael Ball","Left-Back",21,"Everton","Premier League","Rangers"," Scotland","2001-2002",NA,9750000
"William Gallas","Centre-Back",23,"Marseille","Ligue 1","Chelsea","Premier League","2001-2002",NA,9300000
"Craig Bellamy","Left Winger",21,"Coventry City","First Division","Newcastle","Premier League","2001-2002",NA,9000000
"Richard Wright","Goalkeeper",23,"Ipswich","Premier League","Arsenal","Premier League","2001-2002",NA,9000000
"Edú Gaspar","Central Midfield",23,"Corinthians"," Brazil","Arsenal","Premier League","2001-2002",NA,8750000
"Tomás Repka","Centre-Back",27,"Fiorentina","Serie A","West Ham","Premier League","2001-2002",NA,8250000
"Chris Kirkland","Goalkeeper",20,"Coventry City","First Division","Liverpool","Premier League","2001-2002",NA,8200000
"Boudewijn Zenden","Left Winger",24,"FC Barcelona","LaLiga","Chelsea","Premier League","2001-2002",NA,8000000
"Bosko Balaban","Centre-Forward",22,"Dinamo Zagreb"," Croatia","Aston Villa","Premier League","2001-2002",NA,7800000
"Jermaine Jenas","Central Midfield",18,"Nottm Forest","First Division","Newcastle","Premier League","2001-2002",NA,7500000
"Jason Euell","Second Striker",24,"MK Dons","First Division","Charlton","Premier League","2001-2002",NA,7500000
"Don Hutchison","Attacking Midfield",30,"Sunderland","Premier League","West Ham","Premier League","2001-2002",NA,7500000
"Peter Crouch","Centre-Forward",21,"Portsmouth","First Division","Aston Villa","Premier League","2001-2002",NA,7500000
"Jerzy Dudek","Goalkeeper",28,"Feyenoord","Eredivisie","Liverpool","Premier League","2001-2002",NA,7400000
"Jesper Blomqvist","Left Midfield",27,"Man Utd","Premier League","Everton","Premier League","2001-2002",NA,7000000
"Nelson Vivas","Right-Back",31,"Arsenal","Premier League","Inter","Serie A","2001-2002",NA,7000000
"Milan Baros","Centre-Forward",20,"Banik Ostrava"," Czech Republic","Liverpool","Premier League","2001-2002",NA,7000000
"Olof Mellberg","Centre-Back",23,"Racing","LaLiga2","Aston Villa","Premier League","2001-2002",NA,6800000
"Szilard Nemeth","Second Striker",23,"Inter Bratislava"," Slovakia","Middlesbrough","Premier League","2001-2002",NA,6750000
"Tomasz Radzinski","Centre-Forward",27,"RSC Anderlecht","Jupiler Pro League","Everton","Premier League","2001-2002",NA,6750000
"Claudio Reyna","Central Midfield",28,"Rangers"," Scotland","Sunderland","Premier League","2001-2002",NA,6700000
"Steed Malbranque","Central Midfield",21,"Olympique Lyon","Ligue 1","Fulham","Premier League","2001-2002",NA,6600000
"Christian Ziege","Left Midfield",29,"Liverpool","Premier League","Spurs","Premier League","2001-2002",NA,6500000
"Matteo Sereni","Goalkeeper",26,"Sampdoria","Serie B","Ipswich","Premier League","2001-2002",NA,6250000
"John Arne Riise","Left-Back",20,"Monaco","Ligue 1","Liverpool","Premier League","2001-2002",NA,6100000
"Luke Young","Right-Back",21,"Spurs","Premier League","Charlton","Premier League","2001-2002",NA,6000000
"Rory Delap","Central Midfield",25,"Derby","Premier League","Southampton","Premier League","2001-2002",NA,6000000
"Goran Bunjevcevic","Centre-Back",28,"Red Star"," Serbia","Spurs","Premier League","2001-2002",NA,6000000
"Agustín Delgado","Centre-Forward",27,"Necaxa"," Mexico","Southampton","Premier League","2001-2002",NA,5750000
"Paulo Wanchope","Centre-Forward",24,"West Ham","Premier League","Man City","First Division","2001-2002",NA,5600000
"Didier Domi","Left-Back",23,"Newcastle","Premier League","Paris SG","Ligue 1","2001-2002",NA,5580000
"Sylvain Legwinski","Left Midfield",28,"G. Bordeaux","Ligue 1","Fulham","Premier League","2001-2002",NA,5250000
"Jon Harley","Left-Back",21,"Chelsea","Premier League","Fulham","Premier League","2001-2002",NA,5250000
"Nicolás Medina","Defensive Midfield",19,"Argentinos"," Argentina","Sunderland","Premier League","2001-2002",NA,5250000
"Sander Westerveld","Goalkeeper",27,"Liverpool","Premier League","Real Sociedad","LaLiga","2001-2002",NA,5000000
"Lilian Laslandes","Centre-Forward",29,"G. Bordeaux","Ligue 1","Sunderland","Premier League","2001-2002",NA,5000000
"David James","Goalkeeper",30,"Aston Villa","Premier League","West Ham","Premier League","2001-2002",NA,4800000
"Marcus Bent","Centre-Forward",23,"Blackburn","Premier League","Ipswich","Premier League","2001-2002",NA,4500000
"Patrick M'Boma","Centre-Forward",31,"Parma","Serie A","Sunderland","Premier League","2001-2002",NA,4500000
"Matthew Jones","Central Midfield",20,"Leeds","Premier League","Leicester","Premier League","2001-2002",NA,4500000
"James Scowcroft","Centre-Forward",25,"Ipswich","Premier League","Leicester","Premier League","2001-2002",NA,4500000
"Finidi George","Right Winger",30,"RCD Mallorca","LaLiga","Ipswich","Premier League","2001-2002",NA,4200000
"François Grenet","Right-Back",26,"G. Bordeaux","Ligue 1","Derby","Premier League","2001-2002",NA,4190000
"Mustapha Hadji","Attacking Midfield",29,"Coventry City","First Division","Aston Villa","Premier League","2001-2002",NA,4000000
"Sylvinho","Left-Back",27,"Arsenal","Premier League","Celta de Vigo","LaLiga","2001-2002",NA,3800000
"Tobias Linderoth","Defensive Midfield",22,"Stabaek IF","Eliteserien","Everton","Premier League","2001-2002",NA,3750000
"Ian Walker","Goalkeeper",29,"Spurs","Premier League","Leicester","Premier League","2001-2002",NA,3750000
"Gustavo Poyet","Attacking Midfield",33,"Chelsea","Premier League","Spurs","Premier League","2001-2002",NA,3400000
"Abdeslam Ouaddou","Centre-Back",22,"AS Nancy","Ligue 2","Fulham","Premier League","2001-2002",NA,3300000
"Nils-Eric Johansson","Left-Back",21,"1.FC Nuremberg","1.Bundesliga","Blackburn","Premier League","2001-2002",NA,3000000
"Hakan Ünsal","Left-Back",28,"Galatasaray","Süper Lig","Blackburn","Premier League","2001-2002",NA,3000000
"Christian Karembeu","Defensive Midfield",30,"Middlesbrough","Premier League","Olympiacos","Super League","2001-2002",NA,3000000
"Jason McAteer","Right Midfield",30,"Blackburn","Premier League","Sunderland","Premier League","2001-2002",NA,3000000
"Roy Carroll","Goalkeeper",23,"Wigan"," England","Man Utd","Premier League","2001-2002",NA,3000000
"Jonathan Greening","Central Midfield",22,"Man Utd","Premier League","Middlesbrough","Premier League","2001-2002",NA,3000000
"Brett Ormerod","Centre-Forward",25,"Blackpool"," England","Southampton","Premier League","2001-2002",NA,2650000
"Peter Thorne","Centre-Forward",28,"Stoke City"," England","Cardiff"," Wales","2001-2002",NA,2500000
"Dennis Wise","Defensive Midfield",34,"Chelsea","Premier League","Leicester","Premier League","2001-2002",NA,2400000
"Luís Boa Morte","Left Midfield",23,"Southampton","Premier League","Fulham","Premier League","2001-2002",NA,2300000
"Mark Wilson","Central Midfield",22,"Man Utd","Premier League","Middlesbrough","Premier League","2001-2002",NA,2300000
"Nathan Blake","Centre-Forward",29,"Blackburn","Premier League","Wolves","First Division","2001-2002",NA,2250000
"Mark Draper","Attacking Midfield",30,"Aston Villa","Premier League","Southampton","Premier League","2001-2002",NA,2250000
"Peter Crouch","Centre-Forward",20,"QPR"," England","Portsmouth","First Division","2001-2002",NA,2250000
"Danny Dichio","Centre-Forward",26,"Sunderland","Premier League","West Brom","First Division","2001-2002",NA,2240000
"Joachim Björklund","Centre-Back",30,"Venezia","Serie A","Sunderland","Premier League","2001-2002",NA,2230000
"Tugay Kerimoglu","Defensive Midfield",30,"Rangers"," Scotland","Blackburn","Premier League","2001-2002",NA,1950000
"Ulrich Le Pen","Left Winger",27,"FC Lorient","Ligue 1","Ipswich","Premier League","2001-2002",NA,1950000
"Nathan Ellington","Centre-Forward",20,"Bristol Rovers"," England","Wigan"," England","2001-2002",NA,1800000
"Thomas Gaardsöe","Centre-Back",22,"Aalborg BK"," Denmark","Ipswich","Premier League","2001-2002",NA,1800000
"Rio Ferdinand","Centre-Back",23,"Leeds","Premier League","Man Utd","Premier League","2002-2003",NA,46000000
"Nicolas Anelka","Centre-Forward",23,"Paris SG","Ligue 1","Man City","Premier League","2002-2003",NA,15000000
"El-Hadji Diouf","Centre-Forward",21,"Lens","Ligue 1","Liverpool","Premier League","2002-2003",NA,15000000
"Jonathan Woodgate","Centre-Back",23,"Leeds","Premier League","Newcastle","Premier League","2002-2003",NA,13500000
"Hugo Viana","Central Midfield",19,"Sporting CP","Liga NOS","Newcastle","Premier League","2002-2003",NA,12750000
"Massimo Maccarone","Centre-Forward",22,"FC Empoli","Serie A","Middlesbrough","Premier League","2002-2003",NA,12380000
"Tore André Flo","Centre-Forward",29,"Rangers"," Scotland","Sunderland","Premier League","2002-2003",NA,11000000
"Robbie Keane","Centre-Forward",21,"Leeds","Premier League","Spurs","Premier League","2002-2003",NA,10500000
"Robbie Fowler","Centre-Forward",27,"Leeds","Premier League","Man City","Premier League","2002-2003",NA,9800000
"Lee Hughes","Centre-Forward",26,"Coventry City","First Division","West Brom","Premier League","2002-2003",NA,9000000
"Salif Diao","Defensive Midfield",25,"CS Sedan","Ligue 1","Liverpool","Premier League","2002-2003",NA,7500000
"Matías Vuoso","Centre-Forward",20,"Independiente"," Argentina","Man City","Premier League","2002-2003",NA,7500000
"Gilberto Silva","Defensive Midfield",25,"Atlético-MG"," Brazil","Arsenal","Premier League","2002-2003",NA,6900000
"George Boateng","Defensive Midfield",26,"Aston Villa","Premier League","Middlesbrough","Premier League","2002-2003",NA,6900000
"Juninho Paulista","Attacking Midfield",29,"Atlético Madrid","LaLiga","Middlesbrough","Premier League","2002-2003",NA,6900000
"Titus Bramble","Centre-Back",20,"Ipswich","First Division","Newcastle","Premier League","2002-2003",NA,6800000
"Bruno Cheyrou","Central Midfield",24,"LOSC Lille","Ligue 1","Liverpool","Premier League","2002-2003",NA,6500000
"Clinton Morrison","Centre-Forward",23,"Crystal Palace","First Division","Birmingham","Premier League","2002-2003",NA,6380000
"Sylvain Distin","Centre-Back",24,"Paris SG","Ligue 1","Man City","Premier League","2002-2003",NA,6000000
"Richard Wright","Goalkeeper",24,"Arsenal","Premier League","Everton","Premier League","2002-2003",NA,5500000
"Gary Rowett","Right-Back",28,"Leicester","First Division","Charlton","Premier League","2002-2003",NA,5250000
"Matt Piper","Right Midfield",20,"Leicester","First Division","Sunderland","Premier League","2002-2003",NA,5250000
"Michael Ricketts","Centre-Forward",24,"Bolton","Premier League","Middlesbrough","Premier League","2002-2003",NA,5250000
"Marcus Stewart","Centre-Forward",29,"Ipswich","First Division","Sunderland","Premier League","2002-2003",NA,4880000
"Stephen Wright","Right-Back",22,"Liverpool","Premier League","Sunderland","Premier League","2002-2003",NA,4500000
"David Sommeil","Centre-Back",27,"G. Bordeaux","Ligue 1","Man City","Premier League","2002-2003",NA,4500000
"Nick Barmby","Left Midfield",28,"Liverpool","Premier League","Leeds","Premier League","2002-2003",NA,4500000
"Pascal Cygan","Centre-Back",28,"LOSC Lille","Ligue 1","Arsenal","Premier League","2002-2003",NA,3830000
"Franck Queudrue","Left-Back",23,"Lens","Ligue 1","Middlesbrough","Premier League","2002-2003",NA,3750000
"David Prutton","Central Midfield",21,"Nottm Forest","First Division","Southampton","Premier League","2002-2003",NA,3750000
"Mart Poom","Goalkeeper",30,"Derby","First Division","Sunderland","Premier League","2002-2003",NA,3750000
"Dwight Yorke","Centre-Forward",30,"Man Utd","Premier League","Blackburn","Premier League","2002-2003",NA,3500000
"Jason Koumas","Attacking Midfield",22,"Tranmere Rovers","Second Division (bis 03/04)","West Brom","Premier League","2002-2003",NA,3450000
"Antti Niemi","Goalkeeper",30,"Heart of Midl."," Scotland","Southampton","Premier League","2002-2003",NA,3000000
"Michael Svensson","Centre-Back",26,"Troyes","Ligue 1","Southampton","Premier League","2002-2003",NA,3000000
"Marcus Allbäck","Centre-Forward",29,"Heerenveen","Eredivisie","Aston Villa","Premier League","2002-2003",NA,3000000
"Facundo Sava","Centre-Forward",28,"Gimnasia"," Argentina","Fulham","Premier League","2002-2003",NA,3000000
"Lee Carsley","Defensive Midfield",28,"Coventry City","First Division","Everton","Premier League","2002-2003",NA,2850000
"Samuele Dalla Bona","Central Midfield",21,"Chelsea","Premier League","AC Milan","Serie A","2002-2003",NA,2700000
"Ulises de la Cruz","Right-Back",28,"Hibernian FC"," Scotland","Aston Villa","Premier League","2002-2003",NA,2700000
"Sean Gregan","Centre-Back",28,"Preston NE","First Division","West Brom","Premier League","2002-2003",NA,2500000
"Anthony Le Tallec","Centre-Forward",17,"Le Havre U19"," France","Liverpool","Premier League","2002-2003",NA,2500000
"David Thompson","Right Midfield",24,"Coventry City","First Division","Blackburn","Premier League","2002-2003",NA,2250000
"Danny Higginbotham","Centre-Back",24,"Derby","First Division","Southampton","Premier League","2002-2003",NA,2250000
"Aliou Cissé","Defensive Midfield",26,"Paris SG","Ligue 1","Birmingham","Premier League","2002-2003",NA,2250000
"Ricardo","Goalkeeper",30,"Real Valladolid","LaLiga","Man Utd","Premier League","2002-2003",NA,2230000
"Chris Riggott","Centre-Back",22,"Derby","First Division","Middlesbrough","Premier League","2002-2003",NA,2230000
"Stefan Postma","Goalkeeper",26,"De Graafschap","Eredivisie","Aston Villa","Premier League","2002-2003",NA,2230000
"Mazhar Abdelrahman","Forward",25,"El Masry","Premier League","Monaco","Ligue 1","2002-2003",NA,2000000
"Robbie Savage","Central Midfield",27,"Leicester","First Division","Birmingham","Premier League","2002-2003",NA,1880000
"Espen Baardsen","Goalkeeper",25,"Watford","First Division","Everton","Premier League","2002-2003",NA,1880000
"Jamie Clapham","Left-Back",27,"Ipswich","First Division","Birmingham","Premier League","2002-2003",NA,1850000
"Andy Todd","Centre-Back",27,"Charlton","Premier League","Blackburn","Premier League","2002-2003",NA,1500000
"Darren Ambrose","Left Midfield",19,"Ipswich","First Division","Newcastle","Premier League","2002-2003",NA,1500000
"Matthew Upson","Centre-Back",23,"Arsenal","Premier League","Birmingham","Premier League","2002-2003",NA,1400000
"Stephen Clemence","Right Midfield",24,"Spurs","Premier League","Birmingham","Premier League","2002-2003",NA,1350000
"Alexander Manninger","Goalkeeper",25,"Arsenal","Premier League","Espanyol","LaLiga","2002-2003",NA,1320000
"Hermann Hreidarsson","Centre-Back",28,"Ipswich","First Division","Charlton","Premier League","2002-2003",NA,1200000
"Hakan Ünsal","Left-Back",29,"Blackburn","Premier League","Galatasaray","Süper Lig","2002-2003",NA,1200000
"Andy Johnson","Centre-Forward",21,"Birmingham","Premier League","Crystal Palace","First Division","2002-2003",NA,1150000
"Mark Kinsella","Defensive Midfield",29,"Charlton","Premier League","Aston Villa","Premier League","2002-2003",NA,1150000
"Lee Marshall","Central Midfield",23,"Leicester","First Division","West Brom","Premier League","2002-2003",NA,1050000
"Moubarak Boussoufa","Attacking Midfield",17,"Ajax U19","U19 Eredivisie","Chelsea U23"," England","2002-2003",NA,1000000
"Mikkel Bischoff","Centre-Back",20,"Akademisk BK"," Denmark","Man City","Premier League","2002-2003",NA,950000
"David Beckham","Right Midfield",28,"Man Utd","Premier League","Real Madrid","LaLiga","2003-2004",NA,37500000
"Hernán Crespo","Centre-Forward",28,"Inter","Serie A","Chelsea","Premier League","2003-2004",NA,26000000
"Damien Duff","Right Midfield",24,"Blackburn","Premier League","Chelsea","Premier League","2003-2004",NA,24500000
"Juan Sebastián Verón","Central Midfield",28,"Man Utd","Premier League","Chelsea","Premier League","2003-2004",NA,21500000
"Claude Makélélé","Defensive Midfield",30,"Real Madrid","LaLiga","Chelsea","Premier League","2003-2004",NA,20000000
"José Antonio Reyes","Right Winger",20,"Sevilla FC","LaLiga","Arsenal","Premier League","2003-2004",NA,20000000
"Adrian Mutu","Centre-Forward",24,"Parma","Serie A","Chelsea","Premier League","2003-2004",NA,19000000
